symbol,timestamp,close,volume,avg_volume_20,avg_dollar_volume_20,relative_volume,return_20d,sma_20,sma_50,distance_sma20,volatility_20d,momentum_rank,relative_volume_rank,trend_rank,liquidity_rank,low_volatility_rank,score,name,exchange,shortable
STEP,2026-08-07 04:00:00+00:00,46.41,5241745.0,1227469.5,54936316.47849999,4.270366799337988,0.08030726256983223,44.446999999999996,44.1817,0.04416496051477048,0.5644012632372996,0.8590750789665506,0.9714910504576011,0.7903134364622986,0.8500850409006236,0.267190410626063,0.8133392726978214,StepStone Group Inc. Class A Common Stock,NASDAQ,True
IOT,2026-08-07 04:00:00+00:00,40.88,6705989.0,5256191.05,192673468.4905,1.2758267224704476,0.11328976034858407,36.8355,35.0736,0.10979897110124748,0.7265478629322695,0.9007046246051672,0.7989795091925164,0.919818579412003,0.9361788288653115,0.19348829675224752,0.8119219243540942,Samsara Inc.,NYSE,True
WY,2026-08-07 04:00:00+00:00,25.58,7387130.0,5363549.55,131024962.7215,1.3772838175793491,0.0908315565031983,24.423000000000002,24.31,0.047373377553944884,0.3437202126783789,0.8744634324127318,0.8250587187170972,0.8016522232121163,0.9135822466996032,0.43297967117518427,0.8073135174536326,Weyerhaeuser Company,NYSE,True
QURE,2026-08-07 04:00:00+00:00,46.42,1798829.0,1401304.9,57143454.036,1.28368137441038,0.08890452732817256,41.316,38.7134,0.1235356762513311,0.5201159563743565,0.8713857617234956,0.8003563618692799,0.9321292621689479,0.8537296509273508,0.2947274641613347,0.8063456710132015,uniQure N.V. Ordinary Shares,NASDAQ,True
SBLK,2026-08-07 04:00:00+00:00,28.9,1913193.0,1221470.7,33540639.7305,1.566302818397527,0.09677419354838701,27.3995,26.795,0.05476377306155222,0.4347809552923865,0.8810237304608407,0.8617477929861505,0.8245727707135336,0.8101563132744797,0.3527172592532599,0.8049971653033126,Star Bulk Carriers Corp. Common Shares,NASDAQ,True
ARCC,2026-08-07 04:00:00+00:00,20.01,5871291.0,4556017.6,86629865.56799999,1.2886892710862223,0.06549520766773176,19.0455,18.769000000000002,0.05064188390958502,0.2012551489122074,0.8313760427634244,0.8020571798817526,0.8137199319672795,0.8861261844982586,0.5962582003725602,0.8024783348181744,Ares Capital Corporation Common Stock,NASDAQ,False
WAY,2026-08-07 04:00:00+00:00,24.23,4661029.0,2799473.3,62906482.8625,1.6649664063593679,0.08024966562639335,22.63125,21.1448,0.07064346865506765,0.7512969808808447,0.8589940876326233,0.8768121810966226,0.8638535676682595,0.8619097756540051,0.18271644933992062,0.7970843119786183,Waystar Holding Corp. Common Stock,NASDAQ,True
NVST,2026-08-07 04:00:00+00:00,28.15,4068400.0,3032254.5,82543193.2515,1.341707960199251,0.08645310690852948,27.088,25.913600000000002,0.03920555227406952,0.33907054978007345,0.8683890823681866,0.8154207499797521,0.7659350449501904,0.8821576091358224,0.43751518587511135,0.7929456548149348,"Envista Holdings Corporation Common stock, $0.01 par value per share",NYSE,True
OTEX,2026-08-07 04:00:00+00:00,24.94,3148605.0,1655016.75,40170372.72,1.9024611080220184,0.08387657540199922,24.0725,23.1202,0.03603697164814612,0.4853521922405839,0.8643395156718231,0.9035393212926217,0.7475500121487001,0.8256256580545882,0.3162711589859885,0.7921033449420912,Open Text Corporation Common Shares,NASDAQ,True
SAN,2026-08-07 04:00:00+00:00,14.7,15035722.0,11099400.05,155255183.5725,1.354642767380927,0.05984138428262442,13.910500000000003,13.4442,0.05675568814923948,0.3680575510971459,0.818660403336843,0.8193083340082611,0.8295942334170244,0.9240301287762209,0.40997813233983965,0.7906778974649712,Banco Santander S.A.,NYSE,True
CG,2026-08-07 04:00:00+00:00,47.79,5956281.0,3322204.35,155779114.857,1.7928701465940828,0.06888839185864448,46.327999999999996,44.844800000000006,0.031557589362804395,0.38896758792746833,0.8385032801490241,0.8918765692070948,0.7085931805296833,0.9245970681137118,0.38956831619016763,0.7895804648902568,The Carlyle Group Inc. Common Stock,NASDAQ,True
NOG,2026-08-07 04:00:00+00:00,21.6,3317438.0,2613817.35,54123458.453499995,1.269192738352586,0.16630669546436305,20.8235,20.274,0.037289600691526426,0.579245540154477,0.9382036122134931,0.7968737345104074,0.7554871628735725,0.8487081882238601,0.25820037256013606,0.7893779865554386,"Northern Oil and Gas, Inc.",NYSE,True
AS,2026-08-07 04:00:00+00:00,36.84,6127901.0,3982169.95,141007439.425,1.5388346245744735,0.05862068965517264,35.495999999999995,35.0912,0.03786342123056152,0.3503263505621433,0.8155827326476067,0.8578602089576415,0.7592127642342269,0.9175508220620393,0.4266623471288572,0.7861828784320077,"Amer Sports, Inc.",NYSE,True
ETSY,2026-08-07 04:00:00+00:00,85.55,5380590.0,2804648.15,233689213.4415,1.9184545483896083,0.0555212831585441,83.4315,77.10340000000001,0.025392088120194334,0.4111868923833801,0.8082125212602251,0.9054021219729489,0.6502794201020491,0.9444399449258929,0.3709403093868956,0.7708188223860047,"Etsy, Inc.",NYSE,True
KKR,2026-08-07 04:00:00+00:00,102.81,7049016.0,4017205.35,406791508.2585,1.754706415493547,0.060552919331545274,100.813,97.02699999999999,0.01980895321039955,0.37977675930973714,0.8203612213493157,0.8871790718393132,0.5963391917064874,0.9684943711022921,0.3977484409168219,0.7648133149752977,KKR & Co. Inc.,NYSE,True
XOM,2026-08-07 04:00:00+00:00,153.04,18460999.0,14187651.7,2147304243.8040001,1.301201875430872,0.10195852534562211,152.0635,146.4816,0.006421659372564559,0.2408696066114755,0.8875030371750223,0.8058637725763343,0.4618935773872196,0.9950595286304366,0.5444237466591074,0.7584190491617396,ExxonMobil Holdings Corporation,NYSE,True
GRND,2026-08-07 04:00:00+00:00,16.58,3009190.0,1616870.75,26255242.299000002,1.8611196967970383,0.05672402804333965,16.187,14.457,0.024278742200531056,0.47092429018906257,0.8103182959423342,0.8981129019194947,0.6393455900218676,0.7915283064712075,0.32615210172511544,0.7477767878836965,Grindr Inc.,NYSE,True
JAN,2026-08-07 04:00:00+00:00,30.47,1973925.0,1292347.2,39096907.899,1.5273952696303286,0.06167247386759578,30.336999999999996,28.352600000000002,0.004384085440221508,0.2973716159091663,0.8239248400421155,0.8555114602737507,0.437110229205475,0.8242488053778245,0.4805215841904916,0.7201506438811047,"Janus Living, Inc.",NYSE,True
